stage	checkpoint	heap_mb	peak_rss_mb	elapsed_s
04_preprocess	ions mapped to different proteins across runs	682	1443	152.5
04_preprocess	proteins seen in a single run	682	1443	153.3
04_preprocess	zeroIsNA	684	1443	155.6
04_preprocess	repeat spectra of the same ion in a run	679	1443	176.9
04_preprocess	PSMs with too many missing channels	679	1443	177.9
04_preprocess	spikein1_ms2 filters done	679	1443	178.7
04_preprocess	spikein1_ms2 normalised, density figure	730	1508	184.8
04_preprocess	spikein1_ms2 summarised	751	1516	271.1
04_preprocess	spikein1_ms2 joined	828	1516	281
04_preprocess	spikein1_ms2 example figure	832	1516	282.2
04_preprocess	spikein1_ms2 saved	839	1516	285.4
04_preprocess	mouse loaded and slimmed	562	1516	288
04_preprocess	failed protein inference	578	1516	290.1
04_preprocess	shared peptides (protein groups)	576	1516	291.1
04_preprocess	PSMs rejected by PD consensus	576	1516	291.9
04_preprocess	lower-ranked matches to a spectrum	576	1516	292.8
04_preprocess	decoys	576	1516	293.6
04_preprocess	contaminants	576	1516	294.4
04_preprocess	ions mapped to different proteins across runs	580	1516	296.7
04_preprocess	zeroIsNA	581	1516	298.4
04_preprocess	repeat spectra of the same ion in a run	578	1516	306
04_preprocess	PSMs with too many missing channels	574	1516	306.9
04_preprocess	mouse filters done	574	1516	307.6
04_preprocess	mouse normalised, density figure	574	1516	311.4
04_preprocess	mouse summarised	584	1516	336.7
04_preprocess	mouse joined	680	1582	343.8
04_preprocess	mouse example figure	682	1582	344.9
04_preprocess	mouse saved	682	1582	346.8
