protein	n_obs	status	singular	messages	var_Run	var_BioReplicate	var_Mixture	sigma2	scope	level	var_Run:Channel	var_Run:ionID
Q99JY0	165	ok	FALSE		1.4212692357896e-07	0.00580412397564294	1.71204485518564e-08	0.118225647178707	fraction_run	psm	0.160340412516257	3.9531190653753
Q8VD58	7	error	NA	grouping factors must have > 1 sampled level	NA	NA	NA	NA	fraction_run	psm	NA	NA
O08599	43	ok	TRUE	boundary (singular) fit: see help('isSingular')	1.10004554751217	0.0392448764220889	8.96830101564827e-11	0.124724525649969	fraction_run	psm	0.0106102394360541	1.55598101939503
P49070	3	error	NA	grouping factors must have > 1 sampled level	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q9D5V5	20	error	NA	number of levels of each grouping factor must be < number of observations (problems: BioReplicate, Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q3TNH5	12	error	NA	number of levels of each grouping factor must be < number of observations (problems: BioReplicate, Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q8C1E7	50	ok	TRUE	boundary (singular) fit: see help('isSingular')	0	0.0499527426204107	6.34960581571278e-08	0.426016357673888	fraction_run	psm	0	1.40895215044993
Q99LC8	1	error	NA	grouping factors must have > 1 sampled level	NA	NA	NA	NA	fraction_run	psm	NA	NA
P05202	228	ok	FALSE		3.97885328005681e-09	0.572579092003269	0.378744067080979	0.221409725056156	fraction_run	psm	0.00629924184568746	4.34703704448988
Q9CQ20	2	error	NA	grouping factors must have > 1 sampled level	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q3KNM2	12	error	NA	number of levels of each grouping factor must be < number of observations (problems: BioReplicate, Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q61029	27	error	NA	number of levels of each grouping factor must be < number of observations (problems: Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q922B1	53	error	NA	number of levels of each grouping factor must be < number of observations (problems: Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
O54950	7	error	NA	grouping factors must have > 1 sampled level	NA	NA	NA	NA	fraction_run	psm	NA	NA
O55098	33	error	NA	number of levels of each grouping factor must be < number of observations (problems: Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
P58871	777	ok	FALSE		0.0593915677850298	0.154224125540991	0.01795452268887	0.176508038671618	fraction_run	psm	0.00141598913246444	2.87558317574311
P01638	20	error	NA	number of levels of each grouping factor must be < number of observations (problems: BioReplicate, Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q8BXZ1	12	error	NA	grouping factors must have > 1 sampled level	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q9WV69	43	ok	TRUE	boundary (singular) fit: see help('isSingular')	1.74400837483247	0	9.12642216566759e-11	0.279827724494191	fraction_run	psm	0	0.0628696822581622
Q8R1V4	5	error	NA	grouping factors must have > 1 sampled level	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q921M7	72	ok	TRUE	boundary (singular) fit: see help('isSingular')	1.00510192358062	0.0438832651202297	1.04549352458164e-11	0.0541914060868404	fraction_run	psm	0.537296893494795	0.240550280221618
Q8VDS8	13	error	NA	number of levels of each grouping factor must be < number of observations (problems: BioReplicate, Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q61586	13	error	NA	number of levels of each grouping factor must be < number of observations (problems: BioReplicate, Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q99K51	380	ok	TRUE	boundary (singular) fit: see help('isSingular')	0	0.0783045995071911	0	0.166725224137654	fraction_run	psm	0	4.42518957428693
P46412	91	ok	TRUE	boundary (singular) fit: see help('isSingular')	0	0.0796558989565871	2.56245612183858e-08	0.141608919716511	fraction_run	psm	3.76877464358749e-10	4.52708115153339
Q9WUD8	26	error	NA	number of levels of each grouping factor must be < number of observations (problems: Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q01149	203	ok	FALSE		0.0851491540994307	0.105203165597573	2.1514610388324	0.771410386409316	fraction_run	psm	0.16169360094989	2.48004521174108
A2AN08	86	ok	FALSE		2.20389374053082e-06	0.023630867854531	0.343948798510302	0.190666777146396	fraction_run	psm	0.0821812350036487	2.48882644370524
Q05816	373	ok	TRUE	boundary (singular) fit: see help('isSingular')	0	0.274166727998703	0.0300761522953968	0.153091682633664	fraction_run	psm	0.0818681333463206	6.47764189605479
Q91YE3	22	error	NA	number of levels of each grouping factor must be < number of observations (problems: Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q9D0R2	253	ok	TRUE	boundary (singular) fit: see help('isSingular')	1.28959643223643e-08	0.0315903851040323	4.97883271708117e-10	0.125079774089656	fraction_run	psm	0.00355530941555064	3.06972875652864
Q9JM96	46	ok	TRUE	boundary (singular) fit: see help('isSingular')	0	0.107092387124948	0.0160748506510117	0.178477376799212	fraction_run	psm	5.09100634167058e-08	3.16337706510365
P58466	6	error	NA	grouping factors must have > 1 sampled level	NA	NA	NA	NA	fraction_run	psm	NA	NA
P08003	861	ok	FALSE		0.29173903866909	0.451000018769002	7.05035218453388e-07	0.151484355751033	fraction_run	psm	0.00975539228673681	3.61821769078171
Q9QZD9	144	ok	TRUE	boundary (singular) fit: see help('isSingular')	1.03724579416369e-09	0.10620861499262	6.65742017630849e-09	0.126725242774572	fraction_run	psm	0.0473438303440635	2.11009410757925
Q09014	14	error	NA	number of levels of each grouping factor must be < number of observations (problems: BioReplicate, Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
