scope	level	n_proteins	n_error	n_convergence_warning	n_singular	frac_singular	median_var_Run	median_var_BioReplicate	median_var_Mixture	median_sigma2	median_var_Run:Channel	median_var_Run:ionID	frac_zero_var_Run	frac_zero_var_BioReplicate	frac_zero_var_Mixture	frac_zero_sigma2	frac_zero_var_Run:Channel	frac_zero_var_Run:ionID
fraction_run	protein	4683	1820	0	1577	0.550820817324485	1.4450181674658	0.0831663924091633	3.02170170955249e-09	0.150595366505589	NA	NA	0.0237513098148795	0.11596227733147	0.295843520782396	0	NA	NA
mixture	protein	4683	1190	0	415	0.118809046664758	NA	NA	0.319010846720561	0.177865600346763	NA	NA	NA	NA	0.10993415402233	0	NA	NA
fraction_run	psm	400	194	0	159	0.771844660194175	1.22640429117194e-08	0.0733009086598234	5.18770169135097e-09	0.175041872642556	0.00931941476681006	2.19915317074785	0.223300970873786	0.101941747572816	0.276699029126214	0	0.271844660194175	0.00485436893203884
