acquisition	protein_set	n_points	n_proteins	slope	slope_se	intercept	r_squared	slope_through_origin
SPS-MS3	all UPS1 proteins quantified	240	40	0.536409031693603	0.0229944497655282	0.0897854019423735	0.695723939422165	0.577962031789739
MS2	all UPS1 proteins quantified	240	40	0.271989213522157	0.0137009753623999	0.109468597185214	0.623474031346631	0.322651665668671
SPS-MS3	UPS1 proteins quantified in both acquisitions	240	40	0.536409031693603	0.0229944497655282	0.0897854019423735	0.695723939422165	0.577962031789739
MS2	UPS1 proteins quantified in both acquisitions	240	40	0.271989213522157	0.0137009753623999	0.109468597185214	0.623474031346631	0.322651665668671
