acquisition	design	variant	contrast	logfc_floor	n_called	tp	fp	fdp	sensitivity
ms2	balanced	protein_drop_mixed_robust_noridge_msqrob2	0.5 - 0.125	0.2	39	38	1	0.0256410256410256	0.95
ms2	balanced	protein_drop_naive_robust_noridge_msqrob2	1 - 0.667	0.2	1	1	0	0	0.025
ms2	balanced	protein_drop_naive_robust_noridge_msqrob2	1 - 0.5	0.2	10	10	0	0	0.25
ms2	balanced	protein_drop_naive_robust_noridge_msqrob2	1 - 0.125	0.2	32	32	0	0	0.8
ms2	balanced	protein_drop_naive_robust_noridge_msqrob2	0.667 - 0.5	0.2	0	0	0	NA	0
ms2	balanced	protein_drop_naive_robust_noridge_msqrob2	0.667 - 0.125	0.2	28	28	0	0	0.7
ms2	balanced	protein_drop_naive_robust_noridge_msqrob2	0.5 - 0.125	0.2	18	18	0	0	0.45
ms2	balanced	protein_drop_dupcor_mixture_ls_noridge_limma	1 - 0.667	0.2	4	4	0	0	0.1
ms2	balanced	protein_drop_dupcor_mixture_ls_noridge_limma	1 - 0.5	0.2	22	20	2	0.0909090909090909	0.5
ms2	balanced	protein_drop_dupcor_mixture_ls_noridge_limma	1 - 0.125	0.2	36	36	0	0	0.9
ms2	balanced	protein_drop_dupcor_mixture_ls_noridge_limma	0.667 - 0.5	0.2	1	1	0	0	0.025
ms2	balanced	protein_drop_dupcor_mixture_ls_noridge_limma	0.667 - 0.125	0.2	30	30	0	0	0.75
ms2	balanced	protein_drop_dupcor_mixture_ls_noridge_limma	0.5 - 0.125	0.2	26	26	0	0	0.65
ms3	balanced	protein_drop_mixed_robust_noridge_msqrob2	1 - 0.667	0.3	32	32	0	0	0.8
ms3	balanced	protein_drop_mixed_robust_noridge_msqrob2	1 - 0.5	0.3	39	35	4	0.102564102564103	0.875
ms3	balanced	protein_drop_mixed_robust_noridge_msqrob2	1 - 0.125	0.3	43	40	3	0.0697674418604651	1
ms3	balanced	protein_drop_mixed_robust_noridge_msqrob2	0.667 - 0.5	0.3	19	19	0	0	0.475
ms3	balanced	protein_drop_mixed_robust_noridge_msqrob2	0.667 - 0.125	0.3	41	39	2	0.0487804878048781	0.975
ms3	balanced	protein_drop_mixed_robust_noridge_msqrob2	0.5 - 0.125	0.3	40	36	4	0.1	0.9
ms3	balanced	protein_drop_naive_robust_noridge_msqrob2	1 - 0.667	0.3	1	1	0	0	0.025
ms3	balanced	protein_drop_naive_robust_noridge_msqrob2	1 - 0.5	0.3	20	20	0	0	0.5
ms3	balanced	protein_drop_naive_robust_noridge_msqrob2	1 - 0.125	0.3	37	36	1	0.027027027027027	0.9
ms3	balanced	protein_drop_naive_robust_noridge_msqrob2	0.667 - 0.5	0.3	0	0	0	NA	0
ms3	balanced	protein_drop_naive_robust_noridge_msqrob2	0.667 - 0.125	0.3	34	34	0	0	0.85
ms3	balanced	protein_drop_naive_robust_noridge_msqrob2	0.5 - 0.125	0.3	29	29	0	0	0.725
ms3	balanced	protein_drop_mixed_ls_noridge_msqrob2	1 - 0.667	0.3	31	31	0	0	0.775
ms3	balanced	protein_drop_mixed_ls_noridge_msqrob2	1 - 0.5	0.3	36	35	1	0.0277777777777778	0.875
ms3	balanced	protein_drop_mixed_ls_noridge_msqrob2	1 - 0.125	0.3	42	39	3	0.0714285714285714	0.975
ms3	balanced	protein_drop_mixed_ls_noridge_msqrob2	0.667 - 0.5	0.3	17	17	0	0	0.425
ms3	balanced	protein_drop_mixed_ls_noridge_msqrob2	0.667 - 0.125	0.3	40	38	2	0.05	0.95
ms3	balanced	protein_drop_mixed_ls_noridge_msqrob2	0.5 - 0.125	0.3	38	35	3	0.0789473684210526	0.875
ms3	balanced	protein_drop_naive_ls_noridge_msqrob2	1 - 0.667	0.3	1	1	0	0	0.025
ms3	balanced	protein_drop_naive_ls_noridge_msqrob2	1 - 0.5	0.3	15	15	0	0	0.375
ms3	balanced	protein_drop_naive_ls_noridge_msqrob2	1 - 0.125	0.3	37	36	1	0.027027027027027	0.9
ms3	balanced	protein_drop_naive_ls_noridge_msqrob2	0.667 - 0.5	0.3	0	0	0	NA	0
ms3	balanced	protein_drop_naive_ls_noridge_msqrob2	0.667 - 0.125	0.3	33	33	0	0	0.825
ms3	balanced	protein_drop_naive_ls_noridge_msqrob2	0.5 - 0.125	0.3	28	28	0	0	0.7
ms3	balanced	protein_keep_mixed_robust_noridge_msqrob2	1 - 0.667	0.3	33	33	0	0	0.825
ms3	balanced	protein_keep_mixed_robust_noridge_msqrob2	1 - 0.5	0.3	36	35	1	0.0277777777777778	0.875
ms3	balanced	protein_keep_mixed_robust_noridge_msqrob2	1 - 0.125	0.3	43	40	3	0.0697674418604651	1
ms3	balanced	protein_keep_mixed_robust_noridge_msqrob2	0.667 - 0.5	0.3	19	19	0	0	0.475
ms3	balanced	protein_keep_mixed_robust_noridge_msqrob2	0.667 - 0.125	0.3	40	39	1	0.025	0.975
ms3	balanced	protein_keep_mixed_robust_noridge_msqrob2	0.5 - 0.125	0.3	38	36	2	0.0526315789473684	0.9
ms3	balanced	protein_keep_naive_robust_noridge_msqrob2	1 - 0.667	0.3	1	1	0	0	0.025
ms3	balanced	protein_keep_naive_robust_noridge_msqrob2	1 - 0.5	0.3	20	20	0	0	0.5
ms3	balanced	protein_keep_naive_robust_noridge_msqrob2	1 - 0.125	0.3	37	36	1	0.027027027027027	0.9
ms3	balanced	protein_keep_naive_robust_noridge_msqrob2	0.667 - 0.5	0.3	0	0	0	NA	0
ms3	balanced	protein_keep_naive_robust_noridge_msqrob2	0.667 - 0.125	0.3	35	34	1	0.0285714285714286	0.85
ms3	balanced	protein_keep_naive_robust_noridge_msqrob2	0.5 - 0.125	0.3	29	29	0	0	0.725
ms3	balanced	protein_keep_mixed_ls_noridge_msqrob2	1 - 0.667	0.3	30	30	0	0	0.75
ms3	balanced	protein_keep_mixed_ls_noridge_msqrob2	1 - 0.5	0.3	36	35	1	0.0277777777777778	0.875
ms3	balanced	protein_keep_mixed_ls_noridge_msqrob2	1 - 0.125	0.3	43	40	3	0.0697674418604651	1
ms3	balanced	protein_keep_mixed_ls_noridge_msqrob2	0.667 - 0.5	0.3	16	16	0	0	0.4
ms3	balanced	protein_keep_mixed_ls_noridge_msqrob2	0.667 - 0.125	0.3	40	39	1	0.025	0.975
ms3	balanced	protein_keep_mixed_ls_noridge_msqrob2	0.5 - 0.125	0.3	38	36	2	0.0526315789473684	0.9
ms3	balanced	protein_keep_naive_ls_noridge_msqrob2	1 - 0.667	0.3	1	1	0	0	0.025
ms3	balanced	protein_keep_naive_ls_noridge_msqrob2	1 - 0.5	0.3	15	15	0	0	0.375
ms3	balanced	protein_keep_naive_ls_noridge_msqrob2	1 - 0.125	0.3	37	36	1	0.027027027027027	0.9
ms3	balanced	protein_keep_naive_ls_noridge_msqrob2	0.667 - 0.5	0.3	0	0	0	NA	0
ms3	balanced	protein_keep_naive_ls_noridge_msqrob2	0.667 - 0.125	0.3	33	33	0	0	0.825
ms3	balanced	protein_keep_naive_ls_noridge_msqrob2	0.5 - 0.125	0.3	28	28	0	0	0.7
ms3	balanced	protein_ratio_mixed_robust_noridge_msqrob2	1 - 0.667	0.3	33	32	1	0.0303030303030303	0.8
ms3	balanced	protein_ratio_mixed_robust_noridge_msqrob2	1 - 0.5	0.3	38	35	3	0.0789473684210526	0.875
ms3	balanced	protein_ratio_mixed_robust_noridge_msqrob2	1 - 0.125	0.3	43	40	3	0.0697674418604651	1
ms3	balanced	protein_ratio_mixed_robust_noridge_msqrob2	0.667 - 0.5	0.3	19	19	0	0	0.475
ms3	balanced	protein_ratio_mixed_robust_noridge_msqrob2	0.667 - 0.125	0.3	41	39	2	0.0487804878048781	0.975
