n_runs	n_ions	dataset
1	11225	spikein1_ms2
2	6628	spikein1_ms2
3	4610	spikein1_ms2
4	3744	spikein1_ms2
5	3180	spikein1_ms2
6	2873	spikein1_ms2
7	2708	spikein1_ms2
8	2552	spikein1_ms2
9	2634	spikein1_ms2
10	2568	spikein1_ms2
11	2661	spikein1_ms2
12	2706	spikein1_ms2
13	2658	spikein1_ms2
14	2370	spikein1_ms2
15	1936	spikein1_ms2
