acquisition	is_ups	median_interference	mean_interference	frac_over_30	n
SPS-MS3	FALSE	18.97488	23.216549610957	0.318262682823687	274308
SPS-MS3	TRUE	20.32261	22.8517161553481	0.314091680814941	1178
MS2	FALSE	22.73752	26.1843015640306	0.384319870740777	349066
MS2	TRUE	22.10995	25.3831756077005	0.364843335103558	1883
