n_runs	n_ions	dataset
1	8251	spikein1
2	5197	spikein1
3	3937	spikein1
4	3182	spikein1
5	2594	spikein1
6	2375	spikein1
7	2210	spikein1
8	2109	spikein1
9	1972	spikein1
10	2030	spikein1
11	2064	spikein1
12	2071	spikein1
13	2064	spikein1
14	2077	spikein1
15	1739	spikein1
