acquisition	design	variant	contrast	n_fp	median_logfc	median_abs_logfc	frac_negative	frac_abs_below_0.1	frac_abs_below_0.2	median_se
ms3	balanced	protein_ratio_mixed_ls_noridge_msqrob2	0.667 - 0.125	5	-0.0583698	0.0663089	0.8	0.6	0.6	0.0169336
ms3	balanced	protein_ratio_mixed_ls_noridge_msqrob2	0.5 - 0.125	3	0.552305	0.577899	0.333333333333333	0	0	0.127483
ms3	balanced	protein_ratio_naive_ls_noridge_msqrob2	1 - 0.5	1	0.638143	0.638143	0	0	0	0.128964
ms3	balanced	protein_ratio_naive_ls_noridge_msqrob2	1 - 0.125	3	0.489699	0.489699	0	0.333333333333333	0.333333333333333	0.113809
ms3	balanced	protein_ratio_naive_ls_noridge_msqrob2	0.667 - 0.125	1	1.17118	1.17118	0	0	0	0.128964
ms3	balanced	protein_ratio_naive_ls_noridge_msqrob2	0.5 - 0.125	1	0.906995	0.906995	0	0	0	0.128964
ms3	balanced	protein_drop_run_only_robust_noridge_msqrob2	1 - 0.667	3	-0.0755671	0.098636	0.666666666666667	0.666666666666667	1	0.0265938
ms3	balanced	protein_drop_run_only_robust_noridge_msqrob2	1 - 0.5	10	-0.05149	0.20973	0.7	0.3	0.5	0.0568137
ms3	balanced	protein_drop_run_only_robust_noridge_msqrob2	1 - 0.125	16	-0.0519531	0.0743211	0.625	0.625	0.6875	0.0202748
ms3	balanced	protein_drop_run_only_robust_noridge_msqrob2	0.667 - 0.5	3	-0.0519907	0.0789757	0.666666666666667	1	1	0.021059
ms3	balanced	protein_drop_run_only_robust_noridge_msqrob2	0.667 - 0.125	11	-0.056454	0.0652784	0.818181818181818	0.636363636363636	0.818181818181818	0.0162426
ms3	balanced	protein_drop_run_only_robust_noridge_msqrob2	0.5 - 0.125	6	-0.3346295	0.567316	0.666666666666667	0	0.333333333333333	0.110239
ms3	balanced	protein_drop_mixed_robust_ridge_msqrob2	1 - 0.667	1	0.156113	0.156113	0	0	1	0.0415085
ms3	balanced	protein_drop_mixed_robust_ridge_msqrob2	1 - 0.5	2	0.7270305	0.7270305	0	0	0	0.1387395
ms3	balanced	protein_drop_mixed_robust_ridge_msqrob2	1 - 0.125	5	0.0453647	0.180375	0.4	0.4	0.6	0.0407338
ms3	balanced	protein_drop_mixed_robust_ridge_msqrob2	0.667 - 0.5	2	0.0201498	0.0618879	0.5	1	1	0.0165072
ms3	balanced	protein_drop_mixed_robust_ridge_msqrob2	0.667 - 0.125	4	-0.0417255	0.29041765	0.75	0.5	0.5	0.0597471
ms3	balanced	protein_drop_mixed_robust_ridge_msqrob2	0.5 - 0.125	3	-0.529922	0.872867	0.666666666666667	0	0	0.115586
ms3	balanced	protein_drop_dupcor_mixture_ls_noridge_limma	1 - 0.5	2	0.768131	0.768131	0	0	0	0.144059
ms3	balanced	protein_drop_dupcor_mixture_ls_noridge_limma	1 - 0.125	2	0.323866	1.221274	0.5	0	0	0.1520015
ms3	balanced	protein_drop_dupcor_mixture_ls_noridge_limma	0.667 - 0.125	2	0.283739	0.887441	0.5	0	0	0.12039
ms3	balanced	protein_drop_dupcor_mixture_ls_noridge_limma	0.5 - 0.125	4	-0.081296	0.742447	0.5	0	0	0.12039
ms3	balanced	protein_keep_dupcor_mixture_ls_noridge_limma	1 - 0.5	3	0.638143	0.844738	0.333333333333333	0	0	0.182343
ms3	balanced	protein_keep_dupcor_mixture_ls_noridge_limma	1 - 0.125	3	0.654529	0.877271	0.333333333333333	0	0	0.141943
ms3	balanced	protein_keep_dupcor_mixture_ls_noridge_limma	0.667 - 0.125	1	1.17118	1.17118	0	0	0	0.119111
ms3	balanced	protein_keep_dupcor_mixture_ls_noridge_limma	0.5 - 0.125	2	-0.00741049999999999	0.9144055	0.5	0	0	0.153159
ms3	balanced	protein_ratio_dupcor_mixture_ls_noridge_limma	1 - 0.5	3	-0.229953	0.593089	0.666666666666667	0	0	0.108761
ms3	balanced	protein_ratio_dupcor_mixture_ls_noridge_limma	1 - 0.125	4	0.572114	0.572114	0	0.25	0.25	0.106068
ms3	balanced	protein_ratio_dupcor_mixture_ls_noridge_limma	0.667 - 0.125	2	0.676776	0.676776	0	0	0.5	0.07815575
ms3	balanced	protein_ratio_dupcor_mixture_ls_noridge_limma	0.5 - 0.125	4	0.4434205	0.5528345	0.25	0	0	0.1057135
ms3	balanced	psm_drop_mixed_robust_noridge_msqrob2	1 - 0.667	5	-0.0486192	0.114659	0.6	0.4	1	0.0318857
ms3	balanced	psm_drop_mixed_robust_noridge_msqrob2	1 - 0.5	6	-0.03924735	0.3753395	0.666666666666667	0.333333333333333	0.5	0.0717016
ms3	balanced	psm_drop_mixed_robust_noridge_msqrob2	1 - 0.125	17	-0.029836	0.069492	0.647058823529412	0.588235294117647	0.588235294117647	0.0156592
ms3	balanced	psm_drop_mixed_robust_noridge_msqrob2	0.667 - 0.5	5	-0.0549395	0.0831409	0.8	0.8	1	0.0208363
ms3	balanced	psm_drop_mixed_robust_noridge_msqrob2	0.667 - 0.125	6	-0.0547043	0.09670865	0.833333333333333	0.5	0.666666666666667	0.0242505
ms3	balanced	psm_drop_mixed_robust_noridge_msqrob2	0.5 - 0.125	6	-0.2359712	0.567316	0.5	0.166666666666667	0.333333333333333	0.116151
ms3	balanced	psm_keep_mixed_robust_noridge_msqrob2	1 - 0.667	3	0.0694813	0.117785	0.333333333333333	0.333333333333333	1	0.030377
ms3	balanced	psm_keep_mixed_robust_noridge_msqrob2	1 - 0.5	8	-0.0866106	0.4721815	0.75	0.25	0.375	0.09125655
ms3	balanced	psm_keep_mixed_robust_noridge_msqrob2	1 - 0.125	20	-0.02375915	0.07281465	0.6	0.55	0.6	0.01710955
ms3	balanced	psm_keep_mixed_robust_noridge_msqrob2	0.667 - 0.5	4	0.0196438	0.08632665	0.5	0.75	0.75	0.0221996
ms3	balanced	psm_keep_mixed_robust_noridge_msqrob2	0.667 - 0.125	8	0.07694625	0.1574815	0.5	0.375	0.625	0.04213135
ms3	balanced	psm_keep_mixed_robust_noridge_msqrob2	0.5 - 0.125	4	0.09230985	0.512985	0.25	0.25	0.5	0.0702488
ms3	balanced	psm_drop_mixed_ls_noridge_msqrob2	1 - 0.5	2	0.7762065	0.7762065	0	0	0	0.168112
ms3	balanced	psm_drop_mixed_ls_noridge_msqrob2	1 - 0.125	11	-0.0282091	0.225133	0.545454545454545	0.363636363636364	0.363636363636364	0.0600883
ms3	balanced	psm_drop_mixed_ls_noridge_msqrob2	0.667 - 0.5	1	0.102742	0.102742	0	0	1	0.0269233
ms3	balanced	psm_drop_mixed_ls_noridge_msqrob2	0.667 - 0.125	7	-0.0645121	0.149829	0.714285714285714	0.285714285714286	0.571428571428571	0.0404257
ms3	balanced	psm_drop_mixed_ls_noridge_msqrob2	0.5 - 0.125	5	-0.0659658	0.577899	0.6	0.2	0.4	0.128823
ms3	balanced	psm_drop_mixed_robust_ridge_msqrob2	1 - 0.5	2	0.7270335	0.7270335	0	0	0	0.1357655
ms3	balanced	psm_drop_mixed_robust_ridge_msqrob2	1 - 0.125	9	0.0458737	0.187333	0.444444444444444	0.333333333333333	0.555555555555556	0.0465851
ms3	balanced	psm_drop_mixed_robust_ridge_msqrob2	0.667 - 0.125	4	-0.0393899	0.2897779	0.75	0.5	0.5	0.0619526
ms3	balanced	psm_drop_mixed_robust_ridge_msqrob2	0.5 - 0.125	3	-0.529926	0.872875	0.666666666666667	0	0	0.121432
ms3	unbalanced	protein_drop_mixed_robust_noridge_msqrob2	1 - 0.667	3	0.28435	0.28435	0	0	0	0.0697616
ms3	unbalanced	protein_drop_mixed_robust_noridge_msqrob2	1 - 0.5	14	-0.13806	0.2994085	0.714285714285714	0.142857142857143	0.428571428571429	0.0666899
ms3	unbalanced	protein_drop_mixed_robust_noridge_msqrob2	1 - 0.125	13	-0.10653	0.543663	0.615384615384615	0.0769230769230769	0.307692307692308	0.105344
ms3	unbalanced	protein_drop_mixed_robust_noridge_msqrob2	0.667 - 0.5	6	0.3663715	1.67828	0.333333333333333	0	0.166666666666667	0.185767
ms3	unbalanced	protein_drop_mixed_robust_noridge_msqrob2	0.667 - 0.125	14	-0.1418945	0.8237195	0.5	0	0.142857142857143	0.148433
