kegg_gene	uniprot	pathway	pathway_name	fetched	source
mmu:67041	Q9D0K2	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:71724	G3X982	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:71724	Q9CW59	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:71724	Q8C6Q4	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:71872	Q3TYQ9	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:72039	Q99MR8	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:72535	Q9CZS1	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:73724	Q9D1I5	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:73988	Q5SPH3	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:74147	Q9DBM2	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:78038	Q3ULD5	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:78038	B2RUK5	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:78038	Q6PD20	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:78894	Q9D2R0	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:93747	Q8BH95	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:97212	Q8BMS1	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
